claim_id,assessor_name,claim_type,notification_channel,complexity_score,prior_claims,days_to_report,settled_amount,days_to_settle,leakage_flag
CL000000,A21,health,online,4,4,10.4,1779.4,26.4,0
CL000001,A15,motor,phone,4,0,11.6,7314.04,27.4,0
CL000002,A18,property,broker,5,2,1.4,1120.24,54.6,1
CL000003,A3,motor,phone,5,0,4.2,1971.45,27.3,0
CL000004,A7,health,phone,1,2,31.0,2265.06,27.1,0
CL000005,A24,motor,phone,5,1,14.0,6740.12,32.8,0
CL000006,A27,health,broker,5,1,13.1,1739.83,50.0,1
CL000007,A15,health,broker,5,1,16.1,12047.64,34.4,0
CL000008,A12,property,broker,5,3,3.7,2112.27,48.1,1
CL000009,A10,motor,phone,4,0,6.3,43194.5,30.8,0
CL000010,A24,motor,phone,4,0,11.8,837.43,27.1,0
CL000011,A4,motor,phone,4,2,16.9,5925.94,49.6,1
CL000012,A26,property,online,3,3,17.9,1357.27,45.6,1
CL000013,A5,property,online,3,3,12.5,2435.36,41.7,1
CL000014,A27,motor,online,4,1,4.7,7090.54,26.6,0
CL000015,A8,property,broker,2,1,18.6,5429.43,41.8,1
CL000016,A8,motor,online,3,0,12.9,3432.13,41.3,1
CL000017,A5,motor,phone,5,0,13.5,36473.89,32.0,0
CL000018,A29,travel,broker,4,0,14.1,1866.08,30.9,0
CL000019,A10,health,phone,3,0,9.6,3345.62,20.2,0
CL000020,A11,property,broker,3,3,7.5,11324.3,23.0,0
CL000021,A28,health,broker,3,1,0.7,9866.3,22.7,0
CL000022,A13,motor,broker,2,0,9.9,761.36,22.3,0
CL000023,A12,motor,online,5,0,6.8,15417.54,33.8,0
CL000024,A7,travel,broker,5,1,10.0,1444.13,56.4,1
CL000025,A10,travel,online,1,0,12.8,2231.66,15.6,0
CL000026,A18,property,phone,3,0,19.1,4078.39,25.0,0
CL000027,A6,travel,online,4,0,5.2,2182.64,29.6,0
CL000028,A7,health,broker,5,1,10.1,3690.27,31.4,0
CL000029,A11,property,broker,5,1,11.0,3755.34,30.3,0
CL000030,A24,health,online,4,0,3.2,10008.67,31.7,0
CL000031,A21,property,phone,1,0,19.5,1223.91,17.9,0
CL000032,A4,health,phone,3,0,0.7,493.42,19.3,0
CL000033,A28,motor,phone,2,1,18.6,4445.83,25.1,0
CL000034,A14,health,phone,3,2,7.1,3222.48,25.9,0
CL000035,A7,motor,online,1,1,11.2,1226.52,17.2,0
CL000036,A25,property,phone,5,1,13.3,4324.64,32.0,0
CL000037,A10,health,online,4,0,5.5,1729.83,27.6,0
CL000038,A2,health,broker,4,0,13.1,1566.02,25.6,0
CL000039,A27,motor,online,1,1,7.7,3905.99,24.0,0
CL000040,A22,motor,online,5,2,20.3,8219.68,52.8,1
CL000041,A4,travel,online,4,1,2.8,11497.77,49.8,1
CL000042,A8,motor,phone,5,0,4.4,3696.84,37.5,0
CL000043,A1,property,phone,2,1,3.9,3039.93,26.7,0
CL000044,A29,motor,online,3,1,5.3,2841.92,25.8,0
CL000045,A20,motor,online,2,1,15.4,1011.87,26.0,0
CL000046,A20,health,phone,4,0,28.4,967.86,29.0,0
CL000047,A13,property,online,2,0,1.5,1335.78,15.9,0
CL000048,A9,motor,online,5,1,11.1,443.15,31.0,0
CL000049,A4,motor,online,3,1,12.1,15084.6,24.7,0
CL000050,A16,motor,online,4,1,1.9,604.91,23.1,0
CL000051,A7,motor,broker,4,1,18.1,2673.12,48.5,1
CL000052,A18,motor,online,5,1,26.4,1294.5,35.4,0
CL000053,A11,property,phone,1,1,9.3,571.44,16.2,0
CL000054,A18,motor,broker,1,0,2.7,1863.49,14.7,0
CL000055,A4,property,phone,1,1,23.0,1283.23,22.5,0
CL000056,A19,motor,broker,3,0,1.7,2895.18,38.8,0
CL000057,A11,health,phone,4,1,4.4,2962.31,35.9,0
CL000058,A12,property,online,4,0,3.4,1382.23,22.4,0
CL000059,A23,property,online,2,0,2.4,322.72,15.6,0
CL000060,A28,property,phone,5,1,3.9,940.45,31.2,0
CL000061,A8,motor,online,1,0,3.8,5602.54,20.8,0
CL000062,A2,property,phone,3,1,7.5,7394.13,21.8,0
CL000063,A5,property,online,5,1,6.3,2137.65,36.2,0
CL000064,A8,motor,phone,1,1,5.5,654.39,20.7,0
CL000065,A25,property,broker,5,1,9.6,3899.75,29.6,0
CL000066,A2,health,phone,1,1,8.9,600.95,13.2,0
CL000067,A4,motor,phone,4,1,21.6,3087.24,29.5,0
CL000068,A8,motor,phone,3,0,14.9,44501.5,25.8,0
CL000069,A10,health,online,1,0,21.7,933.28,22.5,0
CL000070,A9,property,broker,1,0,1.7,2412.76,22.9,0
CL000071,A14,travel,phone,4,1,2.7,2774.57,46.4,1
CL000072,A7,property,online,3,2,20.0,847.58,49.4,1
CL000073,A5,travel,phone,2,0,9.1,3272.23,24.1,0
CL000074,A15,health,online,3,0,15.0,2006.24,22.6,0
CL000075,A21,motor,online,5,0,15.9,1306.65,32.3,0
CL000076,A10,property,online,2,1,3.4,1088.33,25.0,0
CL000077,A9,health,broker,1,1,3.3,2463.82,30.2,1
CL000078,A8,property,broker,5,2,1.9,1300.26,30.4,0
CL000079,A26,health,online,5,1,6.3,5678.57,58.4,1
CL000080,A3,motor,phone,4,1,1.7,1820.62,44.1,1
CL000081,A10,motor,online,1,0,0.6,702.86,14.1,0
CL000082,A4,motor,online,2,1,19.0,6743.89,40.6,1
CL000083,A28,travel,phone,3,0,4.5,443.6,27.0,0
CL000084,A17,motor,phone,4,2,1.0,1142.92,30.2,0
CL000085,A25,property,online,2,1,6.1,4292.92,23.4,0
CL000086,A14,property,online,1,0,0.7,1179.48,18.3,0
CL000087,A1,motor,online,4,1,12.1,517.26,28.7,0
CL000088,A13,health,phone,1,0,10.2,2141.94,14.0,0
CL000089,A7,motor,online,1,2,8.1,6249.28,17.6,0
CL000090,A8,motor,online,1,3,11.6,6217.66,17.0,0
CL000091,A22,motor,broker,4,0,7.7,1142.28,48.1,1
CL000092,A19,motor,online,2,1,3.0,269.87,19.0,0
CL000093,A9,motor,broker,5,0,1.0,13370.85,49.1,1
CL000094,A19,health,online,3,1,13.7,2379.36,37.4,0
CL000095,A28,motor,online,1,1,2.3,2803.51,31.7,1
CL000096,A17,property,online,4,1,9.2,270.23,31.3,0
CL000097,A7,motor,online,2,2,21.6,1339.68,20.9,0
CL000098,A23,property,online,3,1,9.9,670.13,22.1,0
CL000099,A7,health,online,3,1,4.1,3719.94,49.3,1
CL000100,A7,motor,broker,3,1,9.6,2633.1,45.5,1
CL000101,A9,health,online,4,1,3.4,1591.43,27.0,0
CL000102,A8,property,online,1,2,14.9,1752.14,20.8,0
CL000103,A27,health,phone,4,0,2.4,1057.22,29.9,0
CL000104,A22,health,online,1,0,0.5,818.56,17.8,0
CL000105,A12,property,phone,3,1,21.0,3548.31,24.1,0
CL000106,A21,motor,online,1,1,7.6,1106.78,20.1,0
CL000107,A20,motor,online,1,3,13.1,1014.03,20.8,0
CL000108,A26,motor,online,5,2,15.2,2103.42,32.2,0
CL000109,A14,travel,online,4,0,0.2,1145.12,29.7,0
CL000110,A1,motor,phone,1,0,8.0,6514.15,17.7,0
CL000111,A5,motor,online,5,1,9.7,6369.87,36.6,0
CL000112,A5,property,online,5,2,3.5,11420.42,47.9,1
CL000113,A24,motor,online,4,0,0.4,777.26,22.8,0
CL000114,A16,property,online,3,1,3.3,628.93,48.0,1
CL000115,A23,motor,phone,5,1,8.8,223.09,29.1,0
CL000116,A8,health,online,4,1,1.1,12718.79,25.6,0
CL000117,A7,health,phone,4,0,5.8,4913.41,26.2,0
CL000118,A25,travel,online,1,0,10.0,5405.64,15.0,0
CL000119,A26,property,online,5,0,14.9,2648.87,53.2,1
CL000120,A8,travel,phone,5,0,7.0,7017.1,50.0,0
CL000121,A15,motor,phone,3,2,1.4,701.55,24.2,0
CL000122,A6,travel,online,2,0,29.0,1232.33,24.1,0
CL000123,A17,health,phone,1,1,4.1,2892.23,20.6,0
CL000124,A19,health,phone,1,1,5.5,391.63,31.8,1
CL000125,A14,motor,phone,2,1,4.3,896.48,22.9,0
CL000126,A8,property,online,2,2,3.0,7356.94,23.4,0
CL000127,A16,travel,broker,5,0,19.3,9917.07,54.8,1
CL000128,A23,motor,online,5,1,9.5,11460.71,33.2,0
CL000129,A13,health,phone,5,2,29.2,1415.46,36.3,0
CL000130,A16,health,online,5,0,1.3,3017.2,33.8,0
CL000131,A6,health,phone,2,1,7.7,1100.74,40.1,1
CL000132,A27,motor,broker,5,0,5.9,4505.19,49.6,1
CL000133,A12,travel,online,4,0,0.5,554.37,44.6,1
CL000134,A22,motor,phone,2,0,4.5,1728.79,17.1,0
CL000135,A17,motor,phone,5,0,6.4,1454.11,50.9,1
CL000136,A18,health,broker,1,1,8.4,1796.78,19.8,0
CL000137,A11,health,online,3,2,3.1,32148.13,40.9,1
CL000138,A20,motor,broker,2,0,2.0,3036.95,22.5,0
CL000139,A2,property,phone,4,2,27.7,473.85,52.4,1
CL000140,A19,travel,broker,5,1,26.3,2720.13,35.6,0
CL000141,A6,motor,online,5,1,37.4,2721.9,35.8,0
CL000142,A16,health,online,2,2,19.4,3620.9,21.5,0
CL000143,A15,motor,phone,2,2,0.3,1580.67,25.7,0
CL000144,A23,property,phone,1,1,14.5,458.05,32.4,0
CL000145,A2,health,phone,1,0,8.7,569.32,16.9,0
CL000146,A23,motor,online,3,0,16.4,3833.15,33.5,0
CL000147,A19,health,phone,2,1,28.7,213297.75,48.0,1
CL000148,A8,property,phone,5,1,1.4,2101.91,30.6,0
CL000149,A15,health,online,4,1,8.1,3649.17,33.1,0
CL000150,A15,travel,online,1,0,16.5,718.52,13.6,0
CL000151,A18,property,phone,5,1,4.4,520.12,28.6,0
CL000152,A29,motor,online,3,0,4.7,10143.03,23.4,0
CL000153,A14,travel,online,4,2,18.6,2481.02,29.0,0
