customer_id,tenure_years,age,region,channel,annual_premium,contacts_last_year,repeat_purchase,lapsed
C000000,16.5,34,north,broker,2475.33,2,1,0
C000001,3.72,50,west,bank,3706.63,2,0,0
C000002,8.1,56,north,broker,5300.05,2,0,0
C000003,5.29,46,north,agent,2366.64,3,0,0
C000004,4.33,48,north,agent,3851.88,4,0,0
C000005,8.55,49,south,agent,6497.08,1,1,0
C000006,11.6,39,east,agent,9724.37,2,0,0
C000007,3.41,40,south,broker,3207.64,3,0,0
C000008,1.18,71,east,broker,5008.9,0,0,0
C000009,1.86,49,west,bank,1568.91,2,0,0
C000010,22.1,49,east,agent,4352.41,0,0,0
C000011,8.37,33,east,agent,2940.86,0,1,0
C000012,2.4,52,west,agent,4961.91,1,1,0
C000013,1.13,29,west,direct,5320.17,0,0,0
C000014,7.74,42,north,direct,3241.19,3,0,0
C000015,4.93,32,west,agent,5960.01,0,0,0
C000016,5.05,59,south,agent,4688.27,1,0,0
C000017,1.92,23,east,bank,3500.25,1,0,1
C000018,1.95,36,south,direct,1420.52,1,0,0
C000019,1.37,31,west,agent,1085.99,1,0,0
C000020,6.85,45,south,direct,7524.99,2,0,0
C000021,3.15,61,south,bank,3709.96,4,0,0
C000022,9.39,66,north,bank,2892.27,1,0,1
C000023,3.66,57,west,direct,5719.8,0,0,0
C000024,7.62,51,north,agent,7000.23,3,0,0
C000025,1.74,20,east,agent,6707.12,6,1,0
C000026,4.2,34,west,broker,3431.66,3,0,0
C000027,3.87,65,west,agent,1381.68,3,0,0
C000028,1.24,57,west,agent,3135.07,1,0,0
C000029,5.16,44,south,broker,2894.49,3,0,0
C000030,1.71,44,south,broker,2057.16,4,0,0
C000031,1.17,27,east,bank,2078.51,4,1,0
C000032,3.08,39,south,direct,4872.74,1,0,0
C000033,3.64,53,east,bank,2135.01,3,0,0
C000034,9.37,72,west,agent,2287.52,1,0,0
C000035,7.68,50,west,direct,2109.35,4,1,0
C000036,2.41,59,west,agent,10400.49,1,0,0
C000037,5.01,51,west,agent,5425.12,5,0,0
C000038,2.6,20,east,direct,2815.26,4,0,0
C000039,10.04,30,south,broker,2444.54,0,0,1
C000040,0.99,39,south,agent,2919.15,4,0,0
C000041,3.65,18,east,bank,7108.15,2,0,1
C000042,1.46,57,east,broker,2423.17,3,0,0
C000043,8.7,76,east,direct,3962.23,1,0,0
C000044,8.54,69,north,direct,4806.74,0,0,0
C000045,7.99,53,west,agent,4081.27,1,1,0
C000046,0.79,18,west,agent,2612.07,0,0,0
C000047,2.1,41,south,direct,15602.72,4,0,0
C000048,4.98,18,north,agent,5027.78,4,0,0
C000049,1.86,59,east,broker,3300.33,2,0,0
C000050,5.88,40,north,agent,4127.33,1,0,0
C000051,4.3,29,north,broker,3380.36,2,0,0
C000052,8.56,43,north,agent,986.0,0,0,0
C000053,4.09,37,east,agent,6242.91,3,0,0
C000054,7.46,76,north,bank,4225.32,6,0,0
C000055,4.01,39,east,agent,2706.4,2,0,0
C000056,2.65,30,south,bank,3859.97,1,0,0
C000057,3.53,44,west,direct,2105.63,2,0,1
C000058,8.47,55,east,agent,8110.97,1,0,0
C000059,7.13,58,west,broker,3696.78,5,0,0
C000060,5.3,47,west,agent,8215.68,4,1,0
C000061,5.04,47,south,broker,4991.07,3,0,0
C000062,11.91,18,north,direct,8222.51,1,1,0
C000063,3.52,75,south,broker,8164.18,3,0,0
C000064,2.82,60,south,broker,2180.77,2,0,1
C000065,13.89,40,north,broker,3073.92,2,0,0
C000066,23.9,19,north,agent,4423.32,1,1,0
C000067,13.71,54,north,agent,8451.88,2,1,0
C000068,5.06,59,west,direct,5067.04,4,0,0
C000069,5.67,37,south,bank,16055.75,5,0,0
C000070,6.85,46,west,agent,2601.99,1,0,0
C000071,1.47,38,south,broker,3249.73,0,1,1
C000072,0.32,56,west,agent,13238.25,1,1,0
C000073,6.42,68,north,agent,2637.98,1,1,0
C000074,11.09,41,north,broker,1303.57,0,0,0
C000075,3.16,63,west,direct,6122.42,1,1,0
C000076,5.68,42,west,agent,4527.46,2,0,0
C000077,4.65,45,south,bank,818.82,1,0,0
C000078,0.6,39,east,agent,2038.0,1,0,0
C000079,5.11,39,west,agent,2041.21,2,0,0
C000080,5.03,23,south,bank,7571.24,3,1,0
C000081,1.44,50,west,bank,2727.52,3,0,0
C000082,2.73,42,east,direct,1425.99,2,0,0
C000083,4.89,36,north,agent,5254.08,3,0,0
C000084,4.77,35,east,agent,6333.18,6,0,0
C000085,3.46,27,east,bank,1824.11,2,0,0
C000086,7.16,40,west,direct,1643.65,2,0,0
C000087,4.61,53,north,agent,2419.49,2,0,0
C000088,18.56,45,north,bank,1500.04,2,0,0
C000089,3.65,40,west,agent,5762.52,2,0,0
