event_name,user_pseudo_id,is_active_user,device_category,device_os,geo_city,traffic_source_name,traffic_source_medium,is_js_error
page_view,9834208859.871237,1,desktop,macOS,,(direct),(none),0
virtual_page_load_time,4254688189.434436,1,desktop,Windows,Singapore,(direct),(none),0
first_visit,3889669098.802765,1,desktop,Windows,Central Singapore,(direct),(none),0
javascript_error,9723002124.90124,1,desktop,Windows,Singapore,(direct),(none),1
virtual_page_load_time,9820104033.92473,1,desktop,Windows,Singapore,(direct),(none),0
javascript_error,9964994370.649103,1,desktop,macOS,,(direct),(none),1
javascript_error,5404418656.13088,1,desktop,Windows,Singapore,(direct),(none),1
javascript_error,7479120336.423056,1,desktop,Windows,Singapore,(direct),(none),1
page_view,9078378578.247969,1,desktop,Windows,,(direct),(none),0
page_view,3046532072.263701,1,desktop,Windows,Singapore,(direct),(none),0
page_view,8999402914.483046,1,desktop,Windows,Singapore,(direct),(none),0
login,1579406866.96365,1,desktop,Windows,Central Singapore,(direct),(none),0
page_view,7479120336.423056,1,desktop,Windows,Singapore,(direct),(none),0
user_engagement,4754378618.436832,1,desktop,Windows,Singapore,(direct),(none),0
virtual_page_load_time,2441481291.1053567,1,desktop,macOS,Singapore,(direct),(none),0
virtual_page_load_time,3295263970.7811265,1,desktop,Windows,Singapore,(direct),(none),0
login,4202990882.13622,1,desktop,macOS,Singapore,(direct),(none),0
user_engagement,3295263970.7811265,1,desktop,macOS,Singapore,(direct),(none),0
page_view,9917028464.77163,1,desktop,macOS,,(direct),(none),0
page_view,9203729420.761017,1,desktop,Windows,Central Singapore,(direct),(none),0
login_otp_view,9638315709.435,1,desktop,macOS,,(direct),(none),0
page_view,9397281857.753096,1,desktop,macOS,Singapore,(direct),(none),0
javascript_error,5850277009.955588,1,desktop,Windows,Singapore,(direct),(none),1
login_otp_view,9514310254.528845,1,desktop,Windows,Singapore,(direct),(none),0
javascript_error,8033119301.238212,1,desktop,Windows,Singapore,(direct),(none),1
login,6858629855.7416,1,desktop,macOS,Singapore,(direct),(none),0
page_view,1095126406.4093568,1,desktop,macOS,Singapore,(direct),(none),0
page_view,9964994370.649103,1,desktop,macOS,Singapore,(direct),(none),0
javascript_error,9242742741.520424,1,desktop,Windows,Singapore,(direct),(none),1
page_view,3575133498.200388,1,desktop,Windows,Singapore,(direct),(none),0
javascript_error,3572052070.76376,1,desktop,macOS,Singapore,(direct),(none),1
virtual_page_load_time,9511701079.460356,1,desktop,Windows,Singapore,(direct),(none),0
login,5337325818.317813,1,desktop,macOS,Singapore,(direct),(none),0
javascript_error,2493524417.994997,1,desktop,Windows,,(direct),(none),1
login,9559148595.393116,1,desktop,macOS,Singapore,(direct),(none),0
session_start,1311187015.6406667,0,desktop,macOS,Singapore,(direct),(none),0
login_otp_view,5554444636.444482,1,desktop,macOS,,(direct),(none),0
page_view,3295263970.7811265,1,desktop,Windows,,(direct),(none),0
virtual_page_load_time,3059556864.3467145,1,desktop,Windows,Singapore,(direct),(none),0
virtual_page_load_time,9917028464.77163,1,desktop,macOS,,(direct),(none),0
javascript_error,1579406866.96365,1,desktop,Windows,Singapore,(direct),(none),1
virtual_page_load_time,3396543197.901001,1,desktop,macOS,Singapore,(direct),(none),0
virtual_page_load_time,7552017085.430901,1,desktop,Windows,,(direct),(none),0
Authenticated User,9242742741.520424,1,desktop,macOS,Singapore,(direct),(none),0
page_view,4400171448.669835,1,desktop,Windows,Singapore,(direct),(none),0
page_view,6380491780.96549,1,desktop,macOS,,(direct),(none),0
Authenticated User,8166618829.112005,1,desktop,Windows,,(direct),(none),0
user_engagement,1311187015.6406667,1,desktop,Windows,Singapore,(direct),(none),0
virtual_page_load_time,8278213316.363795,1,desktop,Windows,Singapore,(direct),(none),0
page_view,3874866185.328192,1,desktop,Windows,,(direct),(none),0
javascript_error,2545955708.8906507,1,desktop,macOS,,(direct),(none),1
virtual_page_load_time,9781764231.46115,1,desktop,macOS,,(direct),(none),0
login_otp_view,9265154944.899696,1,desktop,macOS,Singapore,(direct),(none),0
page_view,4464639424.353031,1,desktop,macOS,Singapore,(direct),(none),0
virtual_page_load_time,4499382681.600982,1,desktop,Windows,,(direct),(none),0
virtual_page_load_time,9273285715.497375,1,desktop,Windows,Singapore,(direct),(none),0
scroll,2645951559.8600206,1,desktop,macOS,,(direct),(none),0
login,9471779829.9604,1,desktop,macOS,Singapore,(direct),(none),0
first_visit,2274944963.529047,1,desktop,Windows,Singapore,(direct),(none),0
login,9019709263.474009,1,desktop,Windows,Singapore,(direct),(none),0
page_view,9265154944.899696,1,desktop,Windows,,(direct),(none),0
login,9964994370.649103,1,desktop,macOS,,(direct),(none),0
page_view,9203729420.761017,1,desktop,macOS,Singapore,(direct),(none),0
page_view,4224666978.163954,1,desktop,macOS,Singapore,(direct),(none),0
javascript_error,5328896479.802444,1,desktop,Windows,Singapore,(direct),(none),1
virtual_page_load_time,1546516959.6691127,1,desktop,Windows,Singapore,(direct),(none),0
login,1846962304.8269527,1,desktop,Windows,Singapore,(direct),(none),0
login,9559148595.393116,1,desktop,Windows,Singapore,(direct),(none),0
javascript_error,1546516959.6691127,1,desktop,macOS,,(direct),(none),1
login,4499382681.600982,1,desktop,Windows,Singapore,(direct),(none),0
page_view,2493524417.994997,1,desktop,Windows,Singapore,(direct),(none),0
virtual_page_load_time,8391830846.564149,1,desktop,macOS,Singapore,(direct),(none),0
login_otp_view,4224666978.163954,1,desktop,macOS,Singapore,(direct),(none),0
page_view,9781764231.46115,1,desktop,macOS,Singapore,(direct),(none),0
javascript_error,9514310254.528845,1,desktop,Windows,Singapore,(direct),(none),1
login,3889669098.802765,1,desktop,macOS,Singapore,(direct),(none),0
page_view,1208411965.298038,1,desktop,macOS,Singapore,(direct),(none),0
user_engagement,9279276665.313663,1,desktop,Windows,Singapore,(direct),(none),0
user_engagement,6380491780.96549,1,desktop,macOS,,(direct),(none),0
javascript_error,8166618829.112005,1,desktop,Windows,Singapore,(direct),(none),1
session_start,9514310254.528845,1,desktop,Windows,Singapore,(direct),(none),0
user_engagement,7479120336.423056,1,desktop,Windows,Singapore,(direct),(none),0
virtual_page_load_time,9279276665.313663,1,desktop,Windows,,(direct),(none),0
virtual_page_load_time,4638858844.282696,1,desktop,Windows,Singapore,(direct),(none),0
javascript_error,4752317266.424378,1,desktop,macOS,,(direct),(none),1
page_view,1579406866.96365,1,desktop,Windows,Singapore,(direct),(none),0
page_view,4315582630.519032,1,desktop,Windows,Singapore,(direct),(none),0
javascript_error,1095126406.4093568,1,desktop,macOS,Singapore,(direct),(none),1
page_view,3059556864.3467145,1,desktop,Windows,Singapore,(direct),(none),0
Authenticated User,9514310254.528845,1,desktop,macOS,Singapore,(direct),(none),0
virtual_page_load_time,3727645333.9775968,1,desktop,Windows,,(direct),(none),0
login,1311187015.6406667,1,desktop,macOS,Singapore,(direct),(none),0
page_view,9273285715.497375,1,desktop,macOS,Singapore,(direct),(none),0
Authenticated User,1862076308.9945488,1,desktop,Windows,Singapore,(direct),(none),0
form_submit,3053924237.616631,1,desktop,macOS,Singapore,(direct),(none),0
Authenticated User,8155454195.973104,1,desktop,Windows,Singapore,(direct),(none),0
login_otp_view,8401204324.368673,1,desktop,macOS,,(direct),(none),0
first_visit,2545955708.8906507,1,desktop,Windows,Singapore,(direct),(none),0
login,1098681267.455012,1,desktop,Windows,Singapore,(direct),(none),0
login,1846962304.8269527,1,desktop,Windows,Singapore,(direct),(none),0
user_engagement,9019709263.474009,0,desktop,macOS,Singapore,(direct),(none),0
Authenticated User,7552017085.430901,1,desktop,Windows,Singapore,(direct),(none),0
Authenticated User,4315582630.519032,1,desktop,macOS,Singapore,(direct),(none),0
page_view,4315582630.519032,1,desktop,Windows,Singapore,(direct),(none),0
Authenticated User,5328896479.802444,1,desktop,Windows,Singapore,(direct),(none),0
page_view,8166618829.112005,1,desktop,macOS,,(direct),(none),0
page_view,4592532859.984282,1,desktop,Windows,Singapore,(direct),(none),0
page_view,4281756113.8510566,1,desktop,Windows,,(direct),(none),0
page_view,4499382681.600982,1,desktop,Windows,Singapore,(direct),(none),0
Authenticated User,5404418656.13088,1,desktop,macOS,Singapore,(direct),(none),0
javascript_error,1302326237.762634,1,desktop,Windows,Singapore,(direct),(none),1
Authenticated User,4315582630.519032,1,desktop,Windows,Singapore,(direct),(none),0
user_engagement,4464639424.353031,1,desktop,macOS,Singapore,(direct),(none),0
virtual_page_load_time,8401204324.368673,1,desktop,Windows,Singapore,(direct),(none),0
first_visit,3059556864.3467145,1,desktop,macOS,Singapore,(direct),(none),0
virtual_page_load_time,4281756113.8510566,1,desktop,Windows,Singapore,(direct),(none),0
form_submit,6092529374.757284,1,desktop,Windows,Singapore,(direct),(none),0
session_start,9781764231.46115,1,desktop,macOS,Singapore,(direct),(none),0
session_start,3575133498.200388,1,desktop,macOS,Singapore,(direct),(none),0
user_engagement,9219974946.480968,1,desktop,Windows,Singapore,(direct),(none),0
page_view,6786903943.699848,1,desktop,Windows,,(direct),(none),0
javascript_error,1095126406.4093568,1,desktop,macOS,Singapore,(direct),(none),1
javascript_error,7178508039.12229,1,desktop,macOS,Singapore,(referral),referral,1
javascript_error,1889585583.7467337,1,desktop,macOS,,(direct),(none),1
javascript_error,5221710251.614656,1,desktop,macOS,Singapore,(direct),(none),1
Authenticated User,4315582630.519032,1,desktop,Windows,Singapore,(direct),(none),0
javascript_error,6786903943.699848,1,desktop,Windows,Singapore,(direct),(none),1
page_view,3652299024.24816,1,desktop,macOS,Singapore,(direct),(none),0
virtual_page_load_time,1846962304.8269527,1,desktop,macOS,Singapore,(direct),(none),0
page_view,8548242451.915548,1,desktop,Windows,Singapore,(direct),(none),0
javascript_error,4754378618.436832,1,desktop,macOS,Singapore,(direct),(none),1
page_view,6114726901.7575655,1,desktop,macOS,,(direct),(none),0
javascript_error,5553179427.905471,1,desktop,Windows,,(direct),(none),1
virtual_page_load_time,2493524417.994997,1,desktop,macOS,Singapore,(direct),(none),0
login,1590548317.1258576,1,desktop,macOS,,(direct),(none),0
session_start,7479120336.423056,1,desktop,macOS,Singapore,(direct),(none),0
page_view,5553179427.905471,1,desktop,macOS,,(direct),(none),0
scroll,1311187015.6406667,1,desktop,macOS,Central Singapore,(direct),(none),0
page_view,9205924667.969608,1,desktop,Windows,Singapore,(direct),(none),0
